x,y,token
-15.664829,35.361843,hour
-26.748644,28.257166,recalled
-15.276793,-1.564232,past
-57.25385,16.87678,kindness
10.321507,37.86281,how
0.74412847,-41.770058,taught
-22.354029,-8.635528,played
46.72134,-47.32668,five
8.463691,34.97734,old
-34.912727,13.169236,devoted
-8.92621,-11.409366,powers
-48.058044,13.62382,attach
-15.078688,23.622255,amuse
-36.508778,16.046974,health
40.65127,19.948294,through
4.012644,14.866105,various
-1.2930596,5.5337615,childhood
9.316948,27.631239,large
-34.757607,16.603897,debt
-45.27941,29.084822,gratitude
-17.465055,23.292286,owing
0.12593573,40.701023,here
-36.27145,19.856506,intercourse
-1.552799,29.781982,last
46.800293,-49.07753,seven
-47.542747,18.174246,equal
-34.823524,19.635992,footing
-15.319121,-10.887731,perfect
-36.808872,23.244007,unreserve
-37.28562,34.45135,soon
10.234343,-23.973225,followed
-43.323563,41.27859,isabella
14.324606,32.67971,their
5.282973,15.96796,each
7.1262627,30.680935,other
-17.400068,-2.460405,yet
-50.924145,8.492882,dearer
-42.11864,31.179285,recollection
-35.68999,23.92874,companion
-22.211948,15.164848,such
-9.745538,26.798355,few
8.673226,-42.096123,possessed
-28.194826,14.558171,intelligent
-26.5366,30.29886,informed
-50.10372,31.767347,useful
-40.496178,1.8775002,knowing
-23.874554,-41.69081,ways
-49.64429,31.438168,interested
26.91157,19.813066,its
-40.425076,22.01109,concerns
-31.212475,15.943077,peculiarly
-49.071926,2.6835418,pleasure
-37.80996,13.25993,scheme
-48.00148,30.654137,hers
0.03276805,-38.97724,whom
-30.481659,-7.5137024,could
-28.080526,-32.90923,speak
21.21819,-47.638115,arose
6.1874924,34.469208,never
-45.93509,0.2458466,find
-53.517345,-2.4267333,fault
-23.911121,-25.892448,bear
-57.32277,1.1789981,change
-39.332096,-8.525729,?--
-44.030613,-22.300947,true
-11.97733,37.89421,going
7.520822,32.27288,half
-14.663691,35.738403,mile
11.237095,42.90041,them
-39.31528,9.871249,aware
8.024965,29.00617,great
-31.471554,-8.797522,must
-45.091927,14.746343,difference
-50.310818,39.103695,mrs_weston
-41.367596,20.490818,advantages
-22.763092,11.522141,natural
-42.51787,20.638054,domestic
-38.601006,24.976667,suffering
-21.103815,12.757449,intellectual
-19.391243,18.123367,solitude
-29.00897,-41.70244,dearly
-58.353107,9.118528,loved
10.456173,43.451862,he
-1.8004965,-23.645346,meet
-39.203358,30.530968,conversation
-45.755154,19.629862,rational
-16.495323,-34.439056,evil
-19.584003,17.919088,actual
-43.977245,3.7242806,disparity
-5.1202393,-5.7739205,ages
-26.864767,36.90381,increased
-39.037346,14.451512,constitution
-41.769436,20.771143,habits
-16.36485,-12.078548,life
-23.400064,-10.85059,without
-42.665695,20.35248,activity
-54.90731,17.625254,mind
-18.605312,-12.201956,body
-33.99965,7.568968,older
-17.414429,-2.4587703,though
10.061129,8.1123495,everywhere
-34.62783,19.644817,friendliness
-12.627451,-22.776356,heart
-56.26562,20.405598,amiable
49.57158,-32.650837,talents
-32.708523,28.098114,recommended
10.990762,43.034794,him
2.4591825,36.773266,time
5.398372,18.480085,comparatively
19.218332,-43.74087,removed
-44.229813,3.0675719,matrimony
-35.348305,42.060467,settled
-8.991424,33.09054,london
59.817135,5.574624,miles
35.96332,48.95513,off
1.858977,15.259329,beyond
-17.262196,1.4138218,daily
7.674329,-0.34659228,reach
-14.835462,32.647842,october
-15.062155,32.785107,november
-22.223963,44.68358,struggled
-38.155804,42.989414,hartfield
-10.270486,37.92094,christmas
-11.132412,39.401352,next
-39.502613,38.800137,visit
1.885612,-21.688864,husband
-7.576557,-22.745579,children
3.523118,-7.353566,fill
-28.97257,-17.12681,give
-44.04495,16.139694,society
15.15419,42.335358,again
-37.22336,43.466698,highbury
33.22047,2.0098324,populous
-6.512015,24.473227,village
11.760939,23.62242,almost
-34.162315,43.03639,town
-36.66144,21.879604,spite
-11.74406,8.048417,separate
39.553226,39.951614,lawn
7.328633,-53.90765,name
-32.4401,-0.22429904,really
-47.932125,-3.4334075,belong
-37.26646,19.32757,afforded
-17.345825,-5.0554338,equals
31.645882,45.43017,looked
37.082024,44.21242,up
-40.063576,22.05522,acquaintance
-40.435825,10.443514,universally
-36.13129,5.765087,civil
7.0887957,-30.683323,among
-51.608223,1.1507318,accepted
-23.325026,22.546354,melancholy
-15.609816,45.7438,sigh
-44.171875,-0.44783586,wish
-33.19373,5.8233995,impossible
-14.363576,12.148946,things
9.345351,-4.5780616,till
9.160316,-22.37437,awoke
8.047648,39.98138,made
-44.204155,9.861419,necessary
-29.312607,20.383602,cheerful
-38.132996,25.06121,spirits
-40.464104,33.173534,required
-39.32472,29.236649,support
-44.55801,33.60096,nervous
-29.04829,-0.9288509,easily
-24.502045,18.267508,depressed
-30.567036,0.73283225,used
-15.1102495,1.9919018,part
-23.031456,8.742696,kind
-15.858444,6.525599,origin
-52.029114,7.693723,reconciled
1.3200808,-21.408329,daughter
-50.236115,11.163346,marrying
-20.443928,-24.221613,nor
-25.420065,-20.858772,ever
-19.55261,-19.55815,compassion
-44.360283,25.413197,entirely
6.784384,35.83386,when
-27.618746,44.802067,obliged
-42.6064,25.393648,selfishness
-52.842514,7.946268,able
-41.369297,-6.410021,suppose
-46.54844,-3.0330112,feel
-43.482388,0.7815552,differently
-48.69937,32.57668,disposed
-14.915124,-19.72378,done
-35.5307,-17.459053,sad
-27.402899,2.2759252,thing
-32.31907,4.492346,great_deal
-51.586826,8.080215,happier
9.911076,36.88912,if
-34.16253,44.973225,spent
-10.902548,-7.75213,rest
-22.65052,41.970333,smiled
-45.65923,3.7432065,cheerfully
-2.493975,-43.299908,keep
-15.26433,-16.974096,thoughts
-23.87669,51.92803,tea
-41.77946,-7.778108,say
-25.637533,8.679431,exactly
0.8796785,51.92293,said
-4.000985,44.397335,poor
-36.637787,-14.056215,!--
-25.826982,-15.055261,pity
11.581269,47.00514,is
-36.457993,-14.278502,"!"""
-32.17553,-8.960963,cannot
-42.860806,-4.362814,agree
-32.982075,-14.132336,you
-35.56306,-9.648363,papa
-41.243687,-6.6950135,know
-31.337444,-1.1881871,good
-29.6891,15.491059,humoured
-48.417515,32.539978,thoroughly
-38.52572,-3.9115462,deserves
1.7428553,-21.785973,wife
-47.080162,30.780022,;--
-21.585062,-28.286755,live
-31.763557,-12.411024,us
-34.67874,-15.210265,my
-32.321293,6.2865267,odd
-30.815456,-8.026152,might
-39.422558,-9.247002,"?"""
5.85019,14.869637,where
-39.499268,17.443972,advantage
31.75103,-15.06811,three
-3.8651621,15.075976,times
-35.323277,-11.130767,dear
3.6094968,55.62318,"."""
-30.319984,1.7131277,often
-32.002296,-13.197502,we
-31.311712,-9.4091425,shall
7.6782365,2.9977431,see
-11.950494,38.08491,coming
-32.314888,43.334057,meeting
-35.88334,-5.119113,begin
-29.971128,-14.762922,go
-61.486,12.759918,pay
-34.837673,-13.079948,am
-30.041306,-14.956852,get
1.2926441,14.150514,far
-38.091015,42.94517,randalls
32.492825,11.508701,distance
-4.1583166,-39.29686,walk
-55.912106,-9.972407,nobody
-34.63493,-15.193335,your
16.842487,29.148092,walking
-28.929695,46.27203,carriage
-33.85136,-1.8190247,sure
7.766669,-61.722694,james
-31.498272,-9.244603,will
17.039656,31.000677,like
20.3056,34.27448,put
26.399979,-22.117847,horses
14.977829,30.683023,are
21.998802,23.339348,while
-39.778107,38.024597,paying
-31.731165,-12.689229,our
32.12483,48.94736,into
13.607694,43.336124,stable
-24.247122,32.10859,already
-24.253822,38.47641,talked
5.7273293,-12.63905,night
-31.40776,-9.051771,may
-21.666533,-20.03553,because
-51.124832,12.521249,doubt
-21.662909,7.105993,whether
-29.14099,-16.966457,take
-54.69113,-9.76613,anywhere
-54.50643,-9.919019,else
9.6498995,57.770653,got
11.288107,-57.64122,hannah
-26.834066,31.061522,mentioned
-33.72362,-1.8508855,glad
-32.45925,-2.3982792,lucky
-53.17386,9.945087,slighted
20.53545,31.416782,upon
-37.455177,12.945849,account
-43.131447,-14.886508,make
12.806743,-55.422012,servant
-29.27342,12.345708,pretty
3.8018644,-52.041565,spoken
-4.3684993,45.32272,girl
-48.923447,12.827625,opinion
-45.595238,3.955882,whenever
-38.436504,-4.923305,asks
11.032251,42.988113,me
-40.68412,-7.6080346,do
-31.185484,20.02844,manner
43.19048,-24.53018,needlework
-2.1336555,-43.505554,observe
24.850374,40.830105,turns
34.231636,32.717743,lock
27.30632,48.65264,door
-28.262629,0.59569824,right
-51.8659,4.6907597,comfort
-1.528815,39.22799,somebody
8.300539,38.181187,about
-5.828118,21.159777,goes
-29.88941,8.477834,hearing
-42.77333,-7.252982,tell
-53.004242,9.9871645,spared
-38.214996,27.687117,exertions
-16.73668,-27.766895,maintain
28.456562,-3.0671184,flow
-41.276905,20.27165,ideas
-41.016003,35.603855,hoped
-44.2521,-14.202262,help
-50.374363,32.405273,tolerably
-2.7070086,26.97932,attacked
-42.11225,26.091587,regrets
29.786718,29.423492,table
-21.953516,31.527557,placed
-36.11798,35.83813,visitor
-27.581923,42.361324,immediately
-29.166582,43.760235,afterwards
16.711754,29.301334,walked
-41.907707,29.86262,unnecessary
-50.276497,38.992317,mr_knightley
-56.592354,20.328165,sensible
45.904438,-47.768795,eight
45.673275,-47.637814,thirty
-40.836132,21.86867,intimate
-27.19821,18.666105,connected
-0.48516452,-20.925255,elder
1.6837556,-21.842268,brother
-37.586533,21.150093,frequent
-45.126923,-20.131752,welcome
-29.794165,40.170933,directly
-40.508057,27.156439,mutual
-35.703423,19.67075,connexions
10.19108,-24.968023,returned
-28.714739,-2.8865438,late
15.20523,-43.11445,days
-41.495136,39.645237,absence
-31.54787,37.58316,brunswick
34.627777,18.16247,square
-41.57792,32.527233,circumstance
-27.80795,20.729092,animated
-35.493874,35.136314,inquiries
1.8622009,-55.072002,answered
-35.05656,23.60397,gratefully
-20.546495,33.259674,observed
-29.821556,-14.377993,come
32.121895,48.95174,out
-30.310242,-31.995453,call
-24.039314,-17.082603,afraid
-33.541424,0.9684046,shocking
-37.876415,-13.239441,sir
